"Fecha_generacion","Fecha_evaluacion","Antelacion","Numero_habitaciones_hotel","Numero_habitaciones_bloqueadas","Room_nights_individuales_actuales","Room_nights_grupos_actuales","Precio_actual","Revenue_individual_actual","Revenue_grupos_actual","Precio_competidor1","Precio_competidor2","Precio_competidor3","Cancelaciones","Evento_muy_grande","Evento_grande","Duracion_evento","Horas_sol","Temperatura_minima","Temperatura_maxima"
2022-02-02,2022-02-02,0,192,0,0,0,89,0,0,91,106,NA,0,0,0,0,13.16666667,48.8,62.47
2022-02-02,2022-02-03,1,192,0,0,0,99,0,0,79,106,NA,0,0,0,0,13.21666667,49.31,61.54
2022-02-02,2022-02-04,2,192,0,0,0,99,0,0,79,89,NA,0,0,0,0,13.26666667,46.82,59.38
2022-02-02,2022-02-05,3,192,0,0,0,99,0,0,79,99,NA,0,0,0,0,13.31666667,39.75,59.45
2022-02-02,2022-02-06,4,192,0,0,0,89,0,0,79,94,NA,0,0,0,0,13.36666667,42.29,60.9
2022-02-02,2022-02-07,5,192,0,0,0,99,0,0,79,94,NA,0,0,0,0,13.4,40.87,62.93
2022-02-02,2022-02-08,6,192,0,0,0,99,0,0,79,94,NA,0,0,0,0,13.45,43.73,63.05
2022-02-02,2022-02-09,7,192,0,0,0,89,0,0,79,94,NA,0,0,0,0,13.48333333,42.4,58.73
2022-02-02,2022-02-10,8,192,0,0,0,69,0,0,79,89,NA,0,0,0,0,13.53333333,42.22,60.5
2022-02-02,2022-02-11,9,192,0,0,0,69,0,0,79,89,NA,0,0,0,0,13.56666667,42.36,61.67
2022-02-02,2022-02-12,10,192,0,1,0,69,55.21,0,79,89,NA,0,0,0,0,13.61666667,42.09,64.34
2022-02-02,2022-02-13,11,192,0,1,0,69,55.21,0,79,89,NA,0,0,0,0,13.66666667,49.7,61.96
2022-02-02,2022-02-14,12,192,0,1,0,69,55.21,0,79,89,NA,0,0,0,0,13.71666667,44.86,70.55
